game_id,player,board1,board2,action,result
2,1,556202853376,344184619016,2,2
2,1,693641806848,345258360840,2,2
2,1,693650195456,345258426376,2,2
2,1,693650195968,345258426380,1,2
2,1,693650196224,345258428428,4,2
2,1,693650196240,379618166796,0,2
2,1,693918631696,1479129794572,1,2
2,1,693918631698,1487719729164,5,2
2,1,693985740562,1487721826316,5,2
2,1,693986264850,1487721830412,5,2
2,1,693986264882,3686745085964,6,2
2,2,549755813888,0,3,0
2,2,551903297536,274877906944,3,0
2,2,556198264832,274894684160,4,0
2,2,556198395904,274928238592,1,0
2,2,556198658048,343647715328,1,0
2,2,556202852352,344184586240,1,0
2,2,556202853376,344184619008,3,0
2,2,693641806848,344184619016,2,0
2,2,693650195456,345258360840,2,0
2,2,693650195968,345258426376,2,0
2,2,693650196224,345258426380,4,0
2,2,693650196240,345258428428,0,0
2,2,693918631696,379618166796,5,0
2,2,693918631698,1479129794572,5,0
2,2,693985740562,1487719729164,0,0
2,2,693986264850,1487721826316,5,0
2,2,693986264882,1487721830412,6,0
3,1,0,0,3,2
3,1,274877906944,2147483648,3,2
3,1,274894684160,551903297536,4,2
3,1,279189651456,551903428608,4,2
3,1,279223205888,551903690752,2,2
3,1,416662159360,620623167488,1,2
3,1,417199030272,620627361792,1,2
3,1,417199063040,620627362816,5,2
3,1,1516710690816,620627364864,3,2
3,1,1516710690824,620627364880,0,2
3,1,1551070429192,620895800336,0,2
3,1,1551072526344,620895816720,0,2
3,1,1551072526472,621969558544,1,2
3,1,1551072526728,2820992814096,1,2
3,1,1551072526730,2820992814097,6,2
3,1,1568252395914,2821001202705,2,2
3,2,274877906944,0,3,0
3,2,274894684160,2147483648,4,0
3,2,279189651456,551903297536,3,0
3,2,279223205888,551903428608,4,0
3,2,416662159360,551903690752,1,0
3,2,417199030272,620623167488,1,0
3,2,417199063040,620627361792,3,0
3,2,1516710690816,620627362816,4,0
3,2,1516710690824,620627364864,4,0
3,2,1551070429192,620627364880,0,0
3,2,1551072526344,620895800336,0,0
3,2,1551072526472,620895816720,2,0
3,2,1551072526728,621969558544,6,0
3,2,1551072526730,2820992814096,0,0
3,2,1568252395914,2820992814097,2,0
4,1,0,0,3,1
4,1,274877906944,2147483648,1,1
4,1,343597383680,139586437120,3,1
4,1,343614160896,140660178944,1,1
4,1,344151031808,140664373248,2,1
4,1,344159420416,140664504320,2,1
4,1,344159485952,1240176132096,5,1
4,1,352749420544,1240243240960,5,1
4,1,352749944832,1240243241472,3,1
4,1,352749945856,1240243241480,1,1
4,1,352749978624,1240243241736,1,1
4,1,352749978626,1240243245832,5,1
4,1,352749978658,1789999059720,4,1
