player,board1,board2,action
2,1345852048392,3052182831362,4
1,1345852048392,3052182833410,2
2,1345860437000,3052182833410,2
1,1345860437000,3052182898946,0
2,1345862534152,3052182898946,5
1,1345862534152,3052182903042,0
1,2473901162496,618475290624,3
2,2476048646144,618475290624,3
1,2476048646144,618492067840,4
2,2480343613440,618492067840,1
1,2480343613440,619028938752,1
2,2480347807744,619028938752,3
1,2480347807744,619029069824,6
2,2497527676928,619029069824,0
1,2497527676928,653388808192,0
1,2771059212288,1479633010688,1
2,2771063406592,1479633010688,2
1,1924145348608,180388626432,6
1,1718523789312,2341830918144,2
2,1718532177920,2341830918144,4
1,1718532177920,2341864472576,3
2,1993410084864,2341864472576,1
1,1993410084864,2341868666880,5
2,2002000019456,2341868666880,3
1,2002000019456,2344016150528,2
2,2002000084992,2344016150528,2
1,2002000084992,2344016151040,3
2,2002016862208,2344016151040,3
1,2002016862208,2344016282112,0
2,2036376600576,2344016282112,5
1,2036376600576,2344083390976,3
2,2036376601600,2344083390976,4
1,2036376601600,2344083653120,2
2,2036376601604,2344083653120,4
1,137438953472,34359738368,3
2,412316860416,34359738368,1
1,412316860416,103079215104,3
2,414464344064,103079215104,1
1,414464344064,103616086016,1
2,414468538368,103616086016,3
1,414468538368,103632863232,3
2,414468669440,103632863232,4
1,414468669440,653388677120,2
2,415542411264,653388677120,4
1,415542411264,657683644416,4
2,415575965696,657683644416,1
1,415575965696,657683677184,1
2,415575965952,657683677184,5
1,415575965952,1757195304960,0
2,415844401408,1757195304960,3
1,415844401408,1757195305984,4
2,415844663552,1757195305984,3
1,415844663552,1757195305992,5
2,424434598144,1757195305992,4
1,424434598144,1757195308040,6
1,549755813888,4294967296,3
2,824633720832,4294967296,5
1,824633720832,1103806595072,4
2,824667275264,1103806595072,5
1,824667275264,1112396529664,3
2,826814758912,1112396529664,3
1,826814758912,1112413306880,4
2,826815021056,1112413306880,2
1,826815021056,1249852260352,3
2,826815152128,1249852260352,4
1,826815152128,1249852262400,5
2,826882260992,1249852262400,5
1,826882260992,1249852786688,3
2,826882262016,1249852786688,2
1,826882262016,1250926528512,1
2,895601738752,1250926528512,1
1,895601738752,1251463399424,1
2,895605933056,1251463399424,1
1,895605933056,1251463432192,3
2,895605933064,1251463432192,2
1,895605933064,1251471820800,2
2,895605998600,1251471820800,4
1,895605998600,1251471820816,1
2,895605998856,1251471820816,2
1,895605998856,1251471821328,2
2,3298669101056,292057776128,4
1,3298669101056,841813590016,4
2,3302964068352,841813590016,3
1,3302964068352,843961073664,4
2,3302997622784,843961073664,4
1,3302997622784,843961335808,3
2,3303014400000,843961335808,3
1,3303014400000,843961466880,3
2,3303014401024,843961466880,4
1,3303014401024,843961468928,2
2,3440453354496,843961468928,1
1,3440453354496,912680945664,1
2,3440990225408,912680945664,4
1,3440990225408,912680945680,2
2,3442063967232,912680945680,0
1,3442063967232,947040684048,1
2,3442068161536,947040684048,1
1,3442068161536,947040716816,3
2,3442068161544,947040716816,2
2,420923572224,1170378588160,1
1,420923572224,1170915459072,3
2,420923703296,1170915459072,2
1,420923703296,1171989200896,5
2,420990812160,1171989200896,2
1,420990812160,1171997589504,2
2,420990877696,1171997589504,2
1,420990877696,1171997590016,3
2,420990878720,1171997590016,5
1,420990878720,1171998114304,3
1,2787433775104,1125415649280,5
2,2787500883968,1125415649280,4
1,2787500883968,1125449203712,5
2,2787501408256,1125449203712,3
1,2787501408256,1400327110656,5
2,2787501412352,1400327110656,5
1,2787501412352,1400327110688,4
2,2787501674496,1400327110688,0
1,2787501674496,1400595546144,6
2,2787502723072,1400595546144,3
1,2787502723072,1402743029792,3
2,2787519500288,1402743029792,3
1,2787519500288,1402743160864,4
2,2787519502336,1402743160864,3
1,2787519502336,1402743161888,0
2,2787521599488,1402743161888,3
1,2787521599488,1402743161896,4
2,2787521599504,1402743161896,0
1,2787521599504,1402743178280,2
2,2924960552976,1402743178280,2
1,2924960552976,1403816920104,0
2,2924960553104,1403816920104,0
1,2924960553104,1403816920105,1
2,2993680029840,1403816920105,2
1,2993680029840,1403825308713,2
2,2993680095376,1403825308713,1
2,68719476736,0,4
1,68719476736,549755813888,3
2,343597383680,549755813888,3
1,343597383680,551903297536,4
2,347892350976,551903297536,3
1,347892350976,551920074752,3
2,347892482048,551920074752,4
1,347892482048,551953629184,1
2,348429352960,551953629184,1
1,348429352960,551957823488,4
2,348429615104,551957823488,0
1,348429615104,586317561856,0
2,348698050560,586317561856,1
1,348698050560,586317594624,4
2,348698052608,586317594624,6
1,348698052608,2785340850176,4
2,348698052624,2785340850176,6
1,348698052624,2802520719360,6
2,348832270352,2802520719360,6
1,348832270352,2802521767936,0
2,348834367504,2802521767936,0
1,348834367504,2802521784320,2
2,486273320976,2802521784320,0
1,486273320976,2802521784448,6
2,486273329168,2802521784448,3
1,486273329168,2802521785472,1
2,486273329424,2802521785472,3
1,486273329424,2802521785480,6
2,486273329488,2802521785480,5
1,486273329488,3902033413256,0
2,486273329489,3902033413256,1
1,486273329489,3902033413258,5
2,494863264081,3902033413258,5
1,494863264081,3902100522122,5
2,494863788369,3902100522122,5
1,494863788369,3902100526218,5
2,494863788401,3902100526218,2
1,494863788401,3903174268042,2
1,549755813888,274877906944,3
2,551903297536,274877906944,4
1,551903297536,279172874240,3
2,551920074752,279172874240,1
1,551920074752,347892350976,0
2,586279813120,347892350976,5
1,586279813120,1447403978752,4
2,586313367552,1447403978752,3
1,586313367552,1447404109824,2
2,723752321024,1447404109824,1
1,723752321024,1447940980736,1
2,723756515328,1447940980736,0
1,723756515328,1448209416192,1
2,723756548096,1448209416192,3
1,723756548096,1448209417216,4
2,723756810240,1448209417216,5
1,723756810240,1456799351808,0
2,723758907392,1456799351808,1
1,723758907392,1456799352064,1
2,723758907394,1456799352064,6
1,723758907394,3655822607616,5
2,723826016258,3655822607616,5
1,723826016258,3655823131904,2
2,724899758082,3655823131904,3
1,724899758082,3655823131912,2
2,1511828488192,35433480192,4
1,1511828488192,585189294080,2
2,1511836876800,585189294080,0
1,1511836876800,585457729536,3
2,1513984360448,585457729536,5
1,1513984360448,594047664128,2
2,1513984425984,594047664128,3
1,1513984425984,594064441344,3
2,1513984557056,594064441344,5
1,1513984557056,594131550208,5
2,1513985081344,594131550208,5
1,1513985081344,594131554304,4
2,1518280048640,594131554304,0
1,1518280048640,594133651456,4
1,73014444032,2748779069440,3
2,347892350976,2748779069440,3
1,347892350976,2750926553088,0
2,382252089344,2750926553088,2
1,382252089344,2888365506560,4
2,382285643776,2888365506560,2
1,382285643776,2889439248384,2
2,382294032384,2889439248384,3
1,382294032384,2889456025600,3
2,382294163456,2889456025600,1
1,382294163456,2889992896512,0
2,382562598912,2889992896512,4
1,382562598912,2889993158656,2
2,382562664448,2889993158656,2
1,382562664448,2889993159168,4
2,382562666496,2889993159168,3
1,382562666496,2889993160192,4
2,382562666512,2889993160192,3
1,382562666512,2889993160200,6
2,399742535696,2889993160200,0
1,399742535696,2889995257352,0
2,399742552080,2889995257352,2
1,399742552080,2889995257356,6
2,399876769808,2889995257356,6
1,399876769808,2889996305932,0
2,399876769936,2889996305932,6
1,399876769936,2889996314124,0
2,399876769937,2889996314124,5
1,399876769937,3989507941900,6
2,399876770001,3989507941900,5
1,399876770001,3998097876492,5
2,399943878865,3998097876492,5
1,399943878865,3998098400780,5
2,399943882961,3998098400780,5
1,399943882961,3998098400812,1
2,399948077265,3998098400812,1
1,0,0,2
2,137438953472,0,3
1,137438953472,274877906944,3
2,139586437120,274877906944,3
1,139586437120,274894684160,1
2,208305913856,274894684160,1
1,208305913856,275431555072,1
2,208310108160,275431555072,3
1,208310108160,275431686144,1
2,208310140928,275431686144,4
1,208310140928,825187500032,6
2,2407333396480,825187500032,4
1,2407333396480,829482467328,4
2,2407366950912,829482467328,4
1,2407366950912,829482729472,3
2,2407366951936,829482729472,1
1,2407366951936,829482729728,0
2,2441726690304,829482729728,4
1,2441726690304,829482731776,1
